Date,Open,High,Low,Close,%Change
06-07-2020,10723.84961,10811.40039,10695.09961,10763.65039,0.37%
07-07-2020,10802.84961,10813.7998,10689.7002,10799.65039,-0.03%
08-07-2020,10818.65039,10847.84961,10676.5498,10705.75,-1.05%
09-07-2020,10755.5498,10836.84961,10733,10813.4502,0.54%
10-07-2020,10764.09961,10819.40039,10713,10768.0498,0.04%
13-07-2020,10851.84961,10894.0498,10756.0498,10802.7002,-0.45%
14-07-2020,10750.84961,10755.65039,10562.90039,10607.34961,-1.35%
15-07-2020,10701,10827.4502,10577.75,10618.2002,-0.78%
16-07-2020,10706.2002,10755.2998,10595.2002,10739.9502,0.31%
17-07-2020,10752,10933.4502,10749.65039,10901.7002,1.37%
20-07-2020,10999.4502,11037.90039,10953,11022.2002,0.21%
21-07-2020,11126.09961,11179.5498,11113.25,11162.25,0.32%
22-07-2020,11231.2002,11238.09961,11056.5498,11132.59961,-0.89%
23-07-2020,11135,11239.7998,11103.15039,11215.4502,0.72%
24-07-2020,11149.9502,11225.40039,11090.2998,11194.15039,0.39%
27-07-2020,11225,11225,11087.84961,11131.7998,-0.84%
28-07-2020,11154.09961,11317.75,11151.40039,11300.5498,1.30%
29-07-2020,11276.90039,11341.40039,11149.75,11202.84961,-0.66%
30-07-2020,11254.2998,11299.9502,11084.9502,11102.15039,-1.37%
31-07-2020,11139.5,11150.40039,11026.65039,11073.4502,-0.60%
03-08-2020,11057.5498,11058.0498,10882.25,10891.59961,-1.52%
04-08-2020,10946.65039,11112.25,10908.09961,11095.25,1.34%
05-08-2020,11155.75,11225.65039,11064.0498,11101.65039,-0.49%
06-08-2020,11185.7002,11256.7998,11127.2998,11200.15039,0.13%
07-08-2020,11186.65039,11231.90039,11142.0498,11214.0498,0.24%
10-08-2020,11270.25,11337.2998,11238,11270.15039,0.00%
11-08-2020,11322.25,11373.59961,11299.15039,11322.5,0.00%
12-08-2020,11289,11322,11242.65039,11308.40039,0.17%
13-08-2020,11334.84961,11359.2998,11269.9502,11300.4502,-0.30%
14-08-2020,11353.2998,11366.25,11111.4502,11178.40039,-1.56%
17-08-2020,11248.90039,11267.09961,11144.5,11247.09961,-0.02%
18-08-2020,11259.7998,11401.7002,11253.15039,11385.34961,1.10%
19-08-2020,11452.15039,11460.34961,11394.09961,11408.40039,-0.38%
20-08-2020,11317.4502,11361.4502,11289.7998,11312.2002,-0.05%
21-08-2020,11409.65039,11418.5,11362.2002,11371.59961,-0.33%
24-08-2020,11412,11497.25,11410.65039,11466.4502,0.47%
25-08-2020,11513.09961,11525.90039,11423.34961,11472.25,-0.36%
26-08-2020,11512.84961,11561.75,11461.84961,11549.59961,0.32%
27-08-2020,11609.2998,11617.34961,11540.59961,11559.25,-0.43%
28-08-2020,11602.9502,11686.0498,11589.40039,11647.59961,0.38%
31-08-2020,11777.5498,11794.25,11325.84961,11387.5,-3.43%
01-09-2020,11464.2998,11553.5498,11366.90039,11470.25,0.05%
02-09-2020,11478.5498,11554.75,11430.40039,11535,0.49%
03-09-2020,11566.2002,11584.9502,11507.65039,11527.4502,-0.34%
04-09-2020,11354.40039,11452.0498,11303.65039,11333.84961,-0.18%
07-09-2020,11359.59961,11381.15039,11251.7002,11355.0498,-0.04%
08-09-2020,11378.5498,11437.25,11290.4502,11317.34961,-0.54%
09-09-2020,11218.59961,11298.15039,11185.15039,11278,0.53%
10-09-2020,11363.2998,11464.0498,11327.40039,11449.25,0.75%
11-09-2020,11447.7998,11493.5,11419.90039,11464.4502,0.15%
14-09-2020,11540.15039,11568.90039,11383.5498,11440.0498,-0.88%
15-09-2020,11487.2002,11535.9502,11442.25,11521.7998,0.30%
16-09-2020,11538.4502,11618.09961,11516.75,11604.5498,0.57%
17-09-2020,11539.40039,11587.2002,11498.5,11516.09961,-0.20%
18-09-2020,11584.09961,11584.09961,11446.09961,11504.9502,-0.69%
21-09-2020,11503.7998,11535.25,11218.5,11250.5498,-2.25%
22-09-2020,11301.75,11302.2002,11084.65039,11153.65039,-1.33%
23-09-2020,11258.75,11259.5498,11024.40039,11131.84961,-1.14%
24-09-2020,11011,11015.2998,10790.2002,10805.5498,-1.90%
25-09-2020,10910.40039,11072.59961,10854.84961,11050.25,1.27%
28-09-2020,11140.84961,11239.34961,11099.84961,11227.5498,0.77%
29-09-2020,11288.59961,11305.40039,11181,11222.40039,-0.59%
30-09-2020,11244.4502,11295.40039,11184.5498,11247.5498,0.03%
01-10-2020,11364.4502,11428.59961,11347.0498,11416.9502,0.46%
05-10-2020,11487.7998,11578.0498,11452.2998,11503.34961,0.14%
06-10-2020,11603.4502,11680.2998,11564.2998,11662.40039,0.51%
07-10-2020,11679.25,11763.0498,11629.34961,11738.84961,0.51%
08-10-2020,11835.40039,11905.7002,11791.15039,11834.59961,-0.01%
09-10-2020,11852.0498,11938.59961,11805.2002,11914.2002,0.52%
